ConsumptionDate,ActualConsumption,P7Cons,P2Cons,P1Cons,P9Cons,P3Cons,P4Cons,P5Cons,P6Cons1,P6Sec3Cons2,P6Sec2Cons3,Gen1num1,Gen1num2,Gen2
01/04/2019 00:00,135.786,70.488,3.064,11.816,2.388,12.132,8.494,5.268,12.884,0.768,2.16,0,0,45.936
01/04/2019 00:30,133.386,67.768,3.096,11.816,2.296,12.23,8.556,5.304,13.218,0.77,1.474,0,0,46.33
01/04/2019 01:00,135.312,68.444,3.06,11.816,2.346,12.136,9.108,5.518,13.74,0.77,2.162,0,0,46.234
01/04/2019 01:30,133.948,69.126,3.104,11.82,2.286,12.166,8.928,5.494,11.866,0.772,1.386,0,0,46.304
01/04/2019 02:00,136.016,69.972,3.046,11.818,2.346,12.194,9.092,5.466,13.6,0.774,2.108,0,0,46.302
01/04/2019 02:30,135.918,70.408,3.1,11.818,2.274,12.074,9.116,5.566,12.84,0.772,1.848,0,0,46.306
01/04/2019 03:00,135.49,70.186,3.146,11.818,2.346,12.102,9.178,5.602,12.476,0.776,1.546,0,0,46.326
01/04/2019 03:30,132.964,66.826,3.194,11.82,2.434,12.116,9.108,5.686,13.038,0.774,2.168,0,0,46.342
01/04/2019 04:00,135.646,69.572,3.146,11.824,2.456,11.97,9.304,6.192,12.416,0.776,1.424,0,0,46.294
01/04/2019 04:30,133.69,66.852,3.216,11.824,2.474,11.988,9.268,6.302,13.058,0.778,2.15,0,0,46.346
01/04/2019 05:00,131.288,65.386,3.182,11.822,2.51,12.018,9.16,6.366,12.312,0.776,1.442,0,0,46.322
01/04/2019 05:30,135.528,68.438,3.212,11.822,2.46,12.162,9.114,6.144,13.312,0.778,2.15,0,0,46.33
01/04/2019 06:00,135.172,68.916,3.194,11.822,2.43,12.244,9.062,6.13,12.434,0.778,1.376,0,0,46.264
01/04/2019 06:30,129.104,62.662,3.136,11.824,2.116,12.512,8.612,6.276,13.392,0.778,2.07,0,0,46.31
01/04/2019 07:00,131.22,65.186,3.17,11.822,2.102,12.426,8.554,6.116,12.764,0.78,1.628,0,0,46.33
01/04/2019 07:30,134.546,68.528,3.176,11.824,2.216,12.276,8.598,5.514,13.182,0.78,2.054,0,0,46.366
01/04/2019 08:00,132.108,67.384,3.234,11.826,2.024,11.964,8.586,5.802,12.076,0.782,1.446,0,0,46.35
01/04/2019 08:30,128.804,64.476,3.178,11.824,2.016,11.722,8.604,5.946,11.508,0.782,1.838,0,0,46.33
01/04/2019 09:00,131.244,66.9,3.216,11.824,1.982,10.726,8.834,5.864,12.462,0.78,1.872,0,0,46.274
01/04/2019 09:30,130.768,67.148,3.28,11.828,2.008,10.698,8.762,5.514,11.424,0.784,1.486,0,0,47.746
01/04/2019 10:00,127.05,63.376,3.364,11.824,1.988,10.666,8.652,5.552,12.458,0.782,2.16,0.12,0,47.294
01/04/2019 10:30,129.314,64.834,3.332,11.824,1.994,10.596,8.584,5.952,12.51,0.786,1.576,0.402,0,41.02
01/04/2019 11:00,127.094,63.688,3.366,11.82,1.964,10.418,8.452,6.09,11.546,0.784,2.158,0.348,0,46.102
01/04/2019 11:30,129.54,66.636,3.364,11.82,2,10.084,8.604,6.102,10.968,0.786,1.506,0.288,0,45.528
01/04/2019 12:00,134.048,68.816,3.37,11.816,1.942,9.996,9.044,6.108,13.008,0.788,2.014,0.218,0,43.452
01/04/2019 12:30,131.066,68.816,3.348,11.818,1.934,10.706,8.84,5.93,11.866,0.786,1.976,0.176,0,49.442
01/04/2019 13:00,129.42,66.634,3.344,11.818,1.96,11,8.944,5.908,11.34,0.804,1.786,0.178,0,53.248
01/04/2019 13:30,131.144,65.126,3.404,11.818,2.098,11.04,8.862,6.084,10.492,0.85,1.478,0.158,0,49.548
01/04/2019 14:00,129.814,67.428,3.336,11.822,2.308,11.244,8.528,5.948,9.048,0.85,1.034,0.168,0,45.986
01/04/2019 14:30,129.714,67.34,3.402,11.82,2.53,11.298,8.538,5.63,8.818,0.85,1.03,0.186,0,41.704
01/04/2019 15:00,130.176,67.29,3.37,11.82,2.562,11.672,8.398,5.522,8.966,0.852,1.03,0.188,0,42.068
01/04/2019 15:30,132.064,67.324,3.374,11.826,2.488,11.734,8.228,5.514,9.124,0.854,1.028,0.17,0,39.518
01/04/2019 16:00,132.048,69.092,3.376,11.824,2.42,11.934,8.248,5.462,9.212,0.856,0.526,0.156,0,39.3
01/04/2019 16:30,129.77,69.238,3.308,11.822,2.372,12.18,7.948,5.484,9.338,0.86,1.008,0.15,0,39.336
