DateDaily,P3Daily,P4Daily,P5Daily,P6Daily,P2Daily,P1Daily
01/10/2018,5999,4914,5300,10920,450,100
02/10/2018,5727,4914,4900,10920,450,100
03/10/2018,5519,4704,5300,10920,450,100
04/10/2018,5727,4914,5300,10920,450,100
05/10/2018,5999,4914,5300,10920,450,120
06/10/2018,5795,4914,5300,10920,450,120
07/10/2018,5591,4914,4890,10920,500,120
08/10/2018,4719,4695,5300,10920,500,120
09/10/2018,5795,4914,5300,10920,500,120
10/10/2018,5795,4434,5300,10920,500,120
11/10/2018,5795,4542,5300,10920,450,120
12/10/2018,5999,4914,5300,10920,500,120
13/10/2018,5999,4914,5300,10920,500,120
14/10/2018,5607,4914,5100,10920,500,120
15/10/2018,5639,3794,5300,10920,500,120
16/10/2018,5607,4914,4480,10920,500,120
17/10/2018,5519,4914,5300,10920,500,120
18/10/2018,5639,4914,5300,10920,500,120
19/10/2018,5999,4914,5300,10920,500,120
20/10/2018,5999,4914,5300,10920,500,120
21/10/2018,5727,4914,5000,10920,500,120
22/10/2018,5999,2934,5300,10920,500,120
23/10/2018,5727,4758,5300,10920,500,120
24/10/2018,5519,4914,5300,10920,500,120
25/10/2018,5727,4914,5300,10920,500,120
26/10/2018,5999,4914,5300,10920,500,120
27/10/2018,5999,4914,5300,10920,500,120
28/10/2018,5727,4914,5000,10920,500,120
29/10/2018,5999,4584,5300,10920,500,120
30/10/2018,5727,4914,5300,10920,500,120
31/10/2018,5999,4914,5300,10920,500,120
01/11/2018,6250,5305,5100,11850,500,120
02/11/2018,6522,5305,5100,11850,550,120
03/11/2018,6522,5305,5100,11850,550,120
04/11/2018,6250,5170,5100,11502,550,120
05/11/2018,6522,4958,4772,11502,550,120
06/11/2018,5770,5245,5100,11678,500,120
07/11/2018,6522,5245,5100,11850,500,120
08/11/2018,5950,5245,5100,11489,500,120
09/11/2018,6222,5305,5100,11850,550,120
10/11/2018,6222,5305,5100,11850,550,120
11/11/2018,5950,5230,5100,11514,550,120
12/11/2018,6222,5018,4116,11471,550,120
13/11/2018,5550,5305,4940,11105,550,120
14/11/2018,5822,5105,5100,11222,550,120
15/11/2018,5550,4933,5100,10719,500,120
16/11/2018,6522,5305,5100,11850,500,120
17/11/2018,6522,5305,5100,11850,500,120
18/11/2018,6250,5080,5100,11403,500,120
19/11/2018,6522,4480,5100,11316,500,120
20/11/2018,6250,5305,5100,11850,500,120
21/11/2018,6042,5305,5100,11403,500,120
22/11/2018,6250,4933,5100,11316,500,120
23/11/2018,6522,5305,5100,11850,500,120
24/11/2018,6522,5305,5100,11850,500,120
25/11/2018,6250,5305,4600,11591,520,120
26/11/2018,6522,5305,4600,11834,520,120
27/11/2018,6250,5305,4600,11563,520,120
28/11/2018,6042,5305,5100,11393,520,120
29/11/2018,6250,4933,5100,11262,520,120
30/11/2018,6522,5305,5100,11850,550,120
01/12/2018,6230,5161,5026,11700,550,120
02/12/2018,5958,4966,5026,11434.38116,550,120
03/12/2018,5930,5166,4826,11571.33031,550,120
04/12/2018,5958,5161,5026,11520.48285,550,120
05/12/2018,5718,4961,4076,11390.72014,550,120
06/12/2018,5958,5161,4076,11525.47445,550,120
07/12/2018,6230,5161,4076,11700,550,120
08/12/2018,6230,5161,4076,11700,550,120
09/12/2018,5958,5086,4076,11771.33031,550,120
10/12/2018,6230,5166,3776,11490.89817,550,120
11/12/2018,5958,5161,4076,11571.33031,550,120
12/12/2018,4110,4961,4076,11485.90658,550,120
13/12/2018,5958,5161,4076,11727.94048,550,120
14/12/2018,6230,5161,4076,11700,550,120
15/12/2018,6230,5161,4076,11700,550,120
16/12/2018,5958,5161,4076,11571.33031,550,120
17/12/2018,6230,4789,3776,11620.41506,550,120
18/12/2018,5958,5161,4076,11468.95743,550,120
19/12/2018,5718,4961,4076,11317.09302,550,120
20/12/2018,5958,5161,4076,11771.33031,550,120
21/12/2018,6230,5161,4076,11700,550,120
22/12/2018,6230,5161,4076,11700,550,120
23/12/2018,5958,4789,4076,11367.64394,500,120
24/12/2018,6230,5161,3836,11415.5337,500,120
25/12/2018,5958,5161,4076,11420.27946,500,120
26/12/2018,5718,4961,4076,11633.83879,500,120
27/12/2018,5958,5161,3876,11382.99133,500,120
28/12/2018,6230,5161,4076,11657.97438,500,120
29/12/2018,6230,5161,4076,11657.97438,500,120
30/12/2018,5958,5161,4076,11531.05913,500,120
31/12/2018,6230,5161,4076,11398.31336,500,120
01/01/2019,5569,5384,3650,10235.03254,500,120
02/01/2019,5841,4104,3350,9633.226772,500,120
03/01/2019,5569,5012,3650,10940,500,120
04/01/2019,5841,5384,3650,10940,500,120
05/01/2019,5841,5384,3650,10940,500,120
06/01/2019,5569,5384,3650,11411.52542,550,120
07/01/2019,5841,5384,3240,11367.45763,550,120
08/01/2019,5569,5384,2250,11015.59322,550,120
09/01/2019,5201,5184,3650,11500,550,120
10/01/2019,5569,5384,3650,11147.11864,550,120
11/01/2019,5841,5384,3650,11500,550,120
12/01/2019,5841,5384,3650,11500,550,120
13/01/2019,5569,5189,3650,11500,550,120
14/01/2019,5841,5389,3250,11500,550,120
15/01/2019,5569,5384,3650,11500,550,120
16/01/2019,2401,5184,3650,11500,550,120
