ConsumptionDate,ActualConsumption
01/04/2019 00:00,135.03
01/04/2019 00:30,139.224
01/04/2019 01:00,138.646
01/04/2019 01:30,139.276
01/04/2019 02:00,140.72
01/04/2019 02:30,140.736
01/04/2019 03:00,140.148
01/04/2019 03:30,141.266
01/04/2019 04:00,141.408
01/04/2019 04:30,137.102
01/04/2019 05:00,138.908
01/04/2019 05:30,138.632
01/04/2019 06:00,139.384
01/04/2019 06:30,133.71
01/04/2019 07:00,127.69
01/04/2019 07:30,124.09
01/04/2019 08:00,122.856
01/04/2019 08:30,122.548
01/04/2019 09:00,123.74
01/04/2019 09:30,122.354
01/04/2019 10:00,121.994
01/04/2019 10:30,119.076
01/04/2019 11:00,123.1
01/04/2019 11:30,123.992
01/04/2019 12:00,122.164
01/04/2019 12:30,120.832
01/04/2019 13:00,121.726
01/04/2019 13:30,125.148
01/04/2019 14:00,124.74
01/04/2019 14:30,124.64
01/04/2019 15:00,125.01
01/04/2019 15:30,122.398
01/04/2019 16:00,126.22
01/04/2019 16:30,129.642
01/04/2019 17:00,134.83
01/04/2019 17:30,136.522
01/04/2019 18:00,134.48
01/04/2019 18:30,136.466
01/04/2019 19:00,136.548
01/04/2019 19:30,134.04
01/04/2019 20:00,136.638
01/04/2019 20:30,138.642
01/04/2019 21:00,139.066
01/04/2019 21:30,140.194
01/04/2019 22:00,143.442
01/04/2019 22:30,140.266
01/04/2019 23:00,143.254
01/04/2019 23:30,143.536
02/04/2019 00:00,135.786
02/04/2019 00:30,133.386
02/04/2019 01:00,135.312
02/04/2019 01:30,133.948
02/04/2019 02:00,136.016
02/04/2019 02:30,135.918
02/04/2019 03:00,135.49
02/04/2019 03:30,132.964
02/04/2019 04:00,135.646
02/04/2019 04:30,133.69
02/04/2019 05:00,131.288
02/04/2019 05:30,135.528
02/04/2019 06:00,135.172
02/04/2019 06:30,129.104
02/04/2019 07:00,131.22
02/04/2019 07:30,134.546
02/04/2019 08:00,132.108
02/04/2019 08:30,128.804
02/04/2019 09:00,131.244
02/04/2019 09:30,130.768
02/04/2019 10:00,127.05
02/04/2019 10:30,129.314
02/04/2019 11:00,127.094
02/04/2019 11:30,129.54
02/04/2019 12:00,134.048
02/04/2019 12:30,131.066
02/04/2019 13:00,129.42
02/04/2019 13:30,131.144
02/04/2019 14:00,129.814
02/04/2019 14:30,129.714
02/04/2019 15:00,130.176
02/04/2019 15:30,132.064
02/04/2019 16:00,132.048
02/04/2019 16:30,129.77
02/04/2019 17:00,132.126
02/04/2019 17:30,135.39
02/04/2019 18:00,136.66
02/04/2019 18:30,133.236
02/04/2019 19:00,136.252
02/04/2019 19:30,135.636
02/04/2019 20:00,136.92
02/04/2019 20:30,140.274
02/04/2019 21:00,139.994
02/04/2019 21:30,140.64
02/04/2019 22:00,139.286
02/04/2019 22:30,140.026
02/04/2019 23:00,134.462
02/04/2019 23:30,137.328
03/04/2019 00:00,139.374
03/04/2019 00:30,140.746
03/04/2019 01:00,141.022
03/04/2019 01:30,140.236
03/04/2019 02:00,138.396
03/04/2019 02:30,139.058
03/04/2019 03:00,138.812
03/04/2019 03:30,140.054
03/04/2019 04:00,141.176
03/04/2019 04:30,139.858
03/04/2019 05:00,139.266
03/04/2019 05:30,136.074
03/04/2019 06:00,134.308
03/04/2019 06:30,129.098
03/04/2019 07:00,123.37
03/04/2019 07:30,132.286
03/04/2019 08:00,132.348
03/04/2019 08:30,131.302
03/04/2019 09:00,129.304
03/04/2019 09:30,129.074
03/04/2019 10:00,129.83
03/04/2019 10:30,130.496
03/04/2019 11:00,129.668
03/04/2019 11:30,127.402
03/04/2019 12:00,128.084
03/04/2019 12:30,123.578
03/04/2019 13:00,124.73
03/04/2019 13:30,127.098
03/04/2019 14:00,129.95
03/04/2019 14:30,128.64
03/04/2019 15:00,129.482
03/04/2019 15:30,133.616
03/04/2019 16:00,132.308
03/04/2019 16:30,130.26
03/04/2019 17:00,130.68
03/04/2019 17:30,128.726
03/04/2019 18:00,128.824
03/04/2019 18:30,131.918
03/04/2019 19:00,127.992
03/04/2019 19:30,116.284
03/04/2019 20:00,121.312
03/04/2019 20:30,135.288
03/04/2019 21:00,134.014
03/04/2019 21:30,135.954
03/04/2019 22:00,137.096
03/04/2019 22:30,137.91
03/04/2019 23:00,132.86
03/04/2019 23:30,134.132
04/04/2019 00:00,135.03
04/04/2019 00:30,139.224
04/04/2019 01:00,138.646
04/04/2019 01:30,139.276
04/04/2019 02:00,140.72
04/04/2019 02:30,140.736
04/04/2019 03:00,140.148
04/04/2019 03:30,141.266
04/04/2019 04:00,141.408
04/04/2019 04:30,137.102
04/04/2019 05:00,138.908
04/04/2019 05:30,138.632
04/04/2019 06:00,139.384
04/04/2019 06:30,133.71
04/04/2019 07:00,127.69
04/04/2019 07:30,124.09
04/04/2019 08:00,122.856
04/04/2019 08:30,122.548
04/04/2019 09:00,123.74
04/04/2019 09:30,122.354
04/04/2019 10:00,121.994
04/04/2019 10:30,119.076
04/04/2019 11:00,123.1
04/04/2019 11:30,123.992
04/04/2019 12:00,122.164
04/04/2019 12:30,120.832
04/04/2019 13:00,121.726
04/04/2019 13:30,125.148
04/04/2019 14:00,124.74
04/04/2019 14:30,124.64
04/04/2019 15:00,125.01
04/04/2019 15:30,122.398
04/04/2019 16:00,126.22
04/04/2019 16:30,129.642
04/04/2019 17:00,134.83
04/04/2019 17:30,136.522
04/04/2019 18:00,134.48
04/04/2019 18:30,136.466
04/04/2019 19:00,136.548
04/04/2019 19:30,134.04
04/04/2019 20:00,136.638
04/04/2019 20:30,138.642
04/04/2019 21:00,139.066
04/04/2019 21:30,140.194
04/04/2019 22:00,143.442
