ConsumptionDate,ActualConsumption,P7Cons,P2Cons,P1Cons,P9Cons,P3Cons,P4Cons,P5Cons,P6Cons1,P6Sec3Cons2,P6Sec2Cons3,Gen1num1,Gen1num2,Gen2
1/10/2018 0:00,120.582,57.21,2.71,13.632,1.774,12.224,7.652,6.006,10.334,0.838,0,154.44,47.594,16.322
1/10/2018 0:30,123.206,58.038,2.712,13.666,1.734,12.202,7.668,6.11,11.82,0.734,0,154.63,47.974,16.316
1/10/2018 1:00,124.634,60.694,2.712,13.63,1.668,12.174,7.856,6.12,10.964,0,0,154.706,47.938,15.458
1/10/2018 1:30,125.622,60.76,2.706,13.642,1.72,12.214,8.562,6.184,10.92,0.268,0,155.002,48.084,16.292
1/10/2018 2:00,127.788,62.19,2.702,13.6,1.758,12.24,8.554,6.192,11.854,0.778,0,155.466,47.906,16.236
1/10/2018 2:30,126.366,62.034,2.702,13.642,1.682,12.198,8.142,6.096,11.068,0.778,0,155.004,47.77,16.224
1/10/2018 3:00,124.356,58.956,2.706,13.616,1.692,12.188,8.39,5.882,12.188,0.782,0,155.098,48.136,16.178
1/10/2018 3:30,124.168,57.11,2.71,13.642,1.812,12.224,8.224,5.936,13.466,0.786,0,155.248,48.042,16.284
1/10/2018 4:00,122.736,56.122,2.71,13.624,2.12,12.25,8.148,5.992,12.664,0.784,0,155.126,47.948,16.324
1/10/2018 4:30,125.142,58.56,2.706,13.606,2.152,12.346,7.268,6.098,13.248,0.788,0,154.67,48.126,16.32
1/10/2018 5:00,127.76,60.458,2.708,13.608,2.076,12.2,7.79,6.006,13.658,0.788,0,154.806,48.24,16.326
1/10/2018 5:30,129.652,62.866,2.706,13.594,2.124,11.948,7.984,6.048,13.104,0.788,0,154.954,47.948,16.338
1/10/2018 6:00,127.892,61.422,2.712,13.608,2.11,12.004,8.004,6.15,12.524,0.792,0,155.056,47.914,16.32
1/10/2018 6:30,125.872,60.024,2.644,13.602,2.046,11.9,7.792,5.99,12.422,0.794,0,154.634,47.056,16.634
1/10/2018 7:00,122.718,56.482,2.624,13.62,2.048,12.046,7.344,6.052,12.772,1.274,0,154.452,47.274,17.322
1/10/2018 7:30,127.34,61.778,2.616,13.55,2.05,12.214,7.566,6.042,11.904,1.558,0,154.67,46.888,17.318
1/10/2018 8:00,127.502,61.212,2.62,13.558,2.126,12.27,7.736,5.962,12.19,1.57,0,154.598,46.774,17.292
1/10/2018 8:30,125.522,59.472,2.626,13.514,2.116,12.234,7.86,5.962,12.404,1.58,0,154.838,47.212,17.268
1/10/2018 9:00,124.176,56.91,2.626,13.552,2.078,12.068,8.156,6.008,13.36,1.586,0,154.622,47.21,17.254
1/10/2018 9:30,127.412,59.956,2.632,13.54,2.07,12,8.148,6.01,13.35,1.592,0,154.798,47.002,17.278
1/10/2018 10:00,125.32,57.57,2.626,13.526,2.088,12.074,8.39,6.072,13.13,1.598,0,154.8,47.086,17.276
1/10/2018 10:30,125.776,58.174,2.63,13.522,2.034,12.032,8.408,6.028,13.286,1.602,0,154.856,47.134,17.29
1/10/2018 11:00,123.224,55.056,2.636,13.554,1.992,12.014,8.224,6.042,13.896,1.606,0,154.62,47.15,17.256
1/10/2018 11:30,125.902,58.376,2.644,13.572,2.068,12.078,7.902,6.1,13.554,1.61,0,154.028,47.028,16.872
1/10/2018 12:00,126.452,58.69,2.642,13.698,2.064,11.634,7.872,6.042,14.304,1.614,0,153.886,47.034,16.848
1/10/2018 12:30,129.254,62.098,2.642,13.72,1.992,11.658,7.952,6.062,13.706,1.616,0,154.108,47.062,16.824
1/10/2018 13:00,130.458,62.498,2.648,13.71,2.01,11.716,8.138,6.046,13.992,1.618,0,153.992,46.99,16.384
1/10/2018 13:30,129.684,62.292,2.648,13.726,2.06,11.63,8.024,6.258,13.598,1.332,0,154.098,46.964,16.332
1/10/2018 14:00,127.652,61.256,2.652,13.554,2.074,11.486,8.186,6.014,12.714,0.756,0,154.196,46.97,16.314
1/10/2018 14:30,119.364,53.182,2.648,13.55,1.988,11.298,8.2,6.102,12.866,1.298,0,154.05,46.978,16.156
1/10/2018 15:00,117.51,51.294,2.646,13.522,2.07,11.404,7.902,6.252,13.032,1.58,0,154.058,46.85,15.88
